일시,경기(행사) 종류,경기(행사) 내용,주 최,관람인원,수입금(원),사용일수(일),1시간 최다 강수량 시각(hhmi),일강수량(mm)
2015-06-27,K리그 클래식,K리그 클래식(vs수원),GS스포츠,39328,90737710,1.0,0.0,0.0
2015-07-05,K리그 클래식,K리그 클래식(vs광주),GS스포츠,11587,37479390,1.0,0.0,0.0
2015-07-11,K리그 클래식,K리그 클래식(vs포항),GS스포츠,17913,45552070,1.0,0.0,0.0
2015-07-25,K리그 클래식,K리그 클래식(vs인천),GS스포츠,10454,36730020,1.0,1635.0,80.0
2015-08-22,K리그 클래식,K리그 클래식(vs대전),GS스포츠,17986,43833680,1.0,0.0,0.0
2015-09-09,K리그 클래식,K리그 클래식(vs포항),GS스포츠,9566,38273140,1.0,0.0,0.0
2015-09-23,K리그 클래식,K리그 클래식(vs성남),GS스포츠,8792,35108830,1.0,0.0,0.0
2015-09-28,K리그 클래식,K리그 클래식(vs광주),GS스포츠,17061,41638164,1.0,0.0,0.0
2015-10-04,K리그 클래식,K리그 클래식(vs전남),GS스포츠,20192,45085064,1.0,0.0,0.0
2015-10-25,K리그 클래식,K리그 스플릿(vs전북),GS스포츠,24262,51532290,1.0,0.0,0.0
2015-11-07,K리그 클래식,K리그 스플릿(vs수원),GS스포츠,23308,69127730,1.0,0.0,24.5
2016-03-20,K리그 클래식,K리그 클래식(vs상주),GS스포츠,25950,49204650,1.0,0.0,0.0
2016-04-02,K리그 클래식,K리그 클래식(vs인천),GS스포츠,19318,45520290,1.0,0.0,0.0
2016-04-16,K리그 클래식,K리그 클래식(vs수원FC),GS스포츠,13190,40614080,1.0,1936.0,23.5
2016-05-08,K리그 클래식,K리그 클래식(vs포항),GS스포츠,17530,44274590,1.0,0.0,0.0
2016-05-29,K리그 클래식,K리그 클래식(vs전남),GS스포츠,15851,42483520,1.0,0.0,0.0
2016-06-06,K리그 클래식,K리그 클래식(vs제주),GS스포츠,17466,45826590,1.0,0.0,0.0
2016-06-15,K리그 클래식,K리그 클래식(vs광주),GS스포츠,5505,34016190,1.0,539.0,15.5
2016-06-18,K리그 클래식,K리그 클래식(vs수원삼성),GS스포츠,47899,88646260,1.0,0.0,0.0
2016-06-29,K리그 클래식,K리그 클래식(vs성남),GS스포츠,7865,41603320,1.0,0.0,0.0
2016-07-09,K리그 클래식,K리그 클래식(vs울산),GS스포츠,18372,49353270,1.0,0.0,0.0
2016-07-20,K리그 클래식,K리그 클래식(vs전북),GS스포츠,18814,50784780,1.0,0.0,0.0
2016-07-31,K리그 클래식,K리그 클래식(vs포항),GS스포츠,17140,48929580,1.0,0.0,0.2
2016-08-13,K리그 클래식,K리그 클래식(vs수원삼성),GS스포츠,36309,68641240,1.0,0.0,0.0
2016-08-28,K리그 클래식,K리그 클래식(vs전북),GS스포츠,24508,57407730,1.0,1611.0,1.5
2016-09-03,K리그 클래식,K리그 클래식(vs울산),GS스포츠,13843,44235720,1.0,25.0,0.5
2016-09-18,K리그 클래식,K리그 클래식(vs제주),GS스포츠,15516,44263090,1.0,0.0,0.0
2016-10-15,K리그 클래식,스플릿리그 (vs울산),GS스포츠,10482,38438370,1.0,0.0,0.0
2016-10-22,K리그 클래식,스플릿리그 (vs상주),GS스포츠,11565,41455400,1.0,0.0,0.0
2016-11-02,K리그 클래식,스플릿리그 (vs전남),GS스포츠,5011,34624960,1.0,0.0,0.1
2017-03-05,K리그 클래식,K리그 클래식(vs수원),GS스포츠,34376,79174040,1.0,0.0,0.5
2017-03-19,K리그 클래식,K리그 클래식(vs광주),GS스포츠,10892,36970700,1.0,0.0,0.0
2017-04-08,K리그 클래식,K리그 클래식(vs제주),GS스포츠,13175,38079860,1.0,2238.0,0.5
2017-04-22,K리그 클래식,K리그 클래식(vs인천),GS스포츠,14596,40827270,1.0,0.0,0.0
2017-05-03,K리그 클래식,K리그 클래식(vs전남),GS스포츠,26261,50450840,1.0,0.0,0.0
2017-05-20,K리그 클래식,K리그 클래식(vs강원),GS스포츠,14560,45898730,1.0,0.0,0.0
2017-05-27,K리그 클래식,K리그 클래식(vs울산),GS스포츠,16359,42134530,1.0,0.0,0.0
2017-06-21,K리그 클래식,K리그 클래식(vs대구),GS스포츠,6384,33789660,1.0,0.0,0.0
2017-06-25,K리그 클래식,K리그 클래식(vs상주),GS스포츠,9757,37307610,1.0,1555.0,1.5
2017-07-02,K리그 클래식,K리그 클래식(vs전북),GS스포츠,17571,56086320,1.0,2247.0,92.0
2017-07-12,K리그 클래식,K리그 클래식(vs포항),GS스포츠,8833,41230490,1.0,0.0,0.0
2017-07-23,K리그 클래식,K리그 클래식(vs전북),GS스포츠,23913,53603280,1.0,1041.0,133.5
2017-08-02,K리그 클래식,K리그 클래식(vs강원),GS스포츠,11361,40148730,1.0,0.0,0.0
2017-08-19,K리그 클래식,K리그 클래식(vs울산),GS스포츠,18087,47121090,1.0,0.0,0.0
2017-09-09,K리그 클래식,K리그 클래식(vs제주),GS스포츠,17161,45338070,1.0,0.0,0.0
2017-09-23,K리그 클래식,K리그 클래식(vs포항),GS스포츠,16621,61864500,1.0,0.0,0.0
2017-10-21,K리그 클래식,K-스플릿라운드(vs수원),GS스포츠,27257,53874070,1.0,0.0,0.0
2017-10-28,K리그 클래식,K-스플릿라운드(vs울산),GS스포츠,11984,37815470,1.0,0.0,0.0
2017-11-19,K리그 클래식,K-스플릿라운드(vs제주),GS스포츠,10913,39301310,1.0,0.0,0.0
2018-03-11,K리그 클래식,2018 K리그1 서울vs강원,(주)GS스포츠,16506,42307060,1.0,0.0,0.0
2018-04-01,K리그 클래식,2018 K리그1 서울vs인천,(주)GS스포츠,12686,40321530,1.0,0.0,0.0
2018-04-11,K리그 클래식,2018 K리그1 서울vs포항,(주)GS스포츠,5230,30946270,1.0,0.0,0.0
2018-04-21,K리그 클래식,2018 K리그1 서울vs대구,(주)GS스포츠,8147,34804970,1.0,0.0,0.0
2018-04-28,K리그 클래식,2018 K리그1 서울vs상주,(주)GS스포츠,8063,34835140,1.0,0.0,0.0
2018-05-05,K리그 클래식,2018 K리그1 서울vs수원,(주)GS스포츠,37373,71612970,1.0,0.0,0.0
2018-05-20,K리그 클래식,2018 K리그1 서울vs전북,(주)GS스포츠,23956,55174460,1.0,0.0,0.0
2018-07-15,K리그 클래식,2018 K리그1 서울vs울산,(주)GS스포츠,12708,42381580,1.0,0.0,0.0
2018-07-18,K리그 클래식,2018 K리그1 서울vs전남,(주)GS스포츠,6056,36053570,1.0,0.0,0.0
2018-07-28,K리그 클래식,2018 K리그1 서울vs경남,(주)GS스포츠,9923,39371320,1.0,1355.0,7.5
2018-08-04,K리그 클래식,2018 K리그1 서울vs제주,(주)GS스포츠,9456,38758310,1.0,0.0,0.0
2018-08-19,K리그 클래식,2018 K리그1 서울vs전북,(주)GS스포츠,20471,53100490,1.0,0.0,0.0
2018-08-22,K리그 클래식,2018 K리그1 서울vs포항,(주)GS스포츠,6995,38131200,1.0,0.0,0.0
2018-09-16,K리그 클래식,2018 K리그1 서울vs대구,(주)GS스포츠,15602,42600940,1.0,1536.0,2.0
2018-09-26,K리그 클래식,2018 K리그1 서울vs인천,(주)GS스포츠,15092,41887160,1.0,0.0,0.0
2018-09-30,K리그 클래식,2018 K리그1 서울vs상주,(주)GS스포츠,12943,39249740,1.0,0.0,0.0
2018-10-27,K리그 클래식,2018 K스플릿라운드 서울vs강원,(주)GS스포츠,7616,35091160,1.0,0.0,0.0
2018-11-11,K리그 클래식,2018 K스플릿라운드 서울vs전남,(주)GS스포츠,8525,35880530,1.0,0.0,0.0
2018-11-24,K리그 클래식,2018 K스플릿라운드 서울vs인천,(주)GS스포츠,10816,38832310,1.0,0.0,10.9
2018-12-09,K리그 클래식,2018 K리그 승강플레이오프 서울vs부산,(주)GS스포츠,9612,57504930,1.0,0.0,0.0
2019-03-03,K리그1,2019 K리그1 서울vs포항,(주)GS스포츠,15100,46448200,1.0,0.0,0.0
2019-03-16,K리그1,2019 K리그1 서울vs제주,(주)GS스포츠,17003,42233810,1.0,0.0,0.0
2019-03-30,K리그1,2019 K리그1 서울vs상주,(주)GS스포츠,12862,39618720,1.0,0.0,1.8
2019-04-06,K리그1,2019 K리그1 서울vs경남,(주)GS스포츠,13503,39677520,1.0,1530.0,0.8
2019-04-21,K리그1,2019 K리그1 서울vs인천,(주)GS스포츠,19314,47636620,1.0,0.0,0.3
2019-05-11,K리그1,2019 K리그1 서울vs대구,(주)GS스포츠,26505,58091120,1.0,0.0,0.0
2019-05-28,K리그1,2019 K리그1 서울vs성남,(주)GS스포츠,13091,41764650,1.0,0.0,0.0
2019-06-16,K리그1,2019 K리그1 서울vs수원,(주)GS스포츠,35481,64878370,1.0,0.0,0.0
2019-06-30,K리그1,2019 K리그1 서울vs울산,(주)GS스포츠,19992,50311719,1.0,0.0,0.0
2019-07-06,K리그1,2019 K리그1 서울vs강원,(주)GS스포츠,17990,49143620,1.0,0.0,0.0
2019-07-20,K리그1,2019 K리그1 서울vs전북,(주)GS스포츠,32008,69212790,1.0,756.0,1.1
2019-08-02,K리그1,2019 K리그1 서울vs대구,(주)GS스포츠,18578,48590770,1.0,0.0,0.0
2019-08-11,K리그1,2019 K리그1 서울vs강원,(주)GS스포츠,15355,47218175,1.0,2313.0,6.7
2019-09-01,K리그1,2019 K리그1 서울vs전북,(주)GS스포츠,28024,62535658,1.0,0.0,0.0
2019-09-15,K리그1,2019 K리그1 서울vs인천,(주)GS스포츠,15236,44995210,1.0,0.0,0.0
2019-09-25,K리그1,2019 K리그1 서울vs경남,(주)GS스포츠,8429,39306280,1.0,0.0,0.0
2019-09-29,K리그1,2019 K리그1 서울vs상주,(주)GS스포츠,13914,60876030,1.0,0.0,0.0
2019-11-03,K리그1,2019 K리그1 파이널 서울vs울산,(주)GS스포츠,19813,68202520,1.0,0.0,0.0
2019-11-23,K리그1,2020 K리그1 파이널 서울vs포항,(주)GS스포츠,16783,46329880,1.0,0.0,0.0
