연번,경기(행사) 일시,구 분,경기(행사) 종류,경기(행사) 내용,주 최,관람인원,수입금(원),사용일수(일)
,2014-03-23,,FC서울홈경기,K리그 클래식(vs부산),GS스포츠,16460 ,38900410 ,1
,2014-03-26,,FC서울홈경기,K리그 클래식(vs제주),GS스포츠,6872 ,31282850 ,1
,2014-04-01,,FC서울홈경기,ACL(vs산프레체 히로시마),GS스포츠,8897 ,30223230 ,2
,2014-04-06,,FC서울홈경기,K리그 클래식(vs전북),GS스포츠,22662 ,48405350 ,1
,2014-04-12,,FC서울홈경기,K리그 클래식(vs경남),GS스포츠,12497 ,35535660 ,1
,2014-04-20,,FC서울홈경기,K리그 클래식(vs포항),GS스포츠,13554 ,35771030 ,1
,2014-04-23,,FC서울홈경기,ACL(vs베이징궈안),GS스포츠,9574 ,28938500 ,2
,2014-04-30,,FC서울홈경기,FA컵(vs인천),GS스포츠,3115 ,8851200 ,1
,2014-05-02,,기타축구,시민개방 축구경기,이홍원(가락시장축구동호회),50 ,1020000 ,1
,2014-05-10,,기타축구,2014 서울컵 선데이리그 결승,서울시설공단, - , - ,1
,2014-05-14,,FC서울홈경기,AC:(vs가와사키 프론탈레),GS스포츠,12287 ,26804910 ,2
,2014-05-18,,FC서울홈경기,K리그 클래식(FC서울 vs 성남),GS스포츠,18636 ,39765780 ,1
,2014-05-21,,기타축구,시민개방 축구경기,권호진(토요축구회),50 ,1020000 ,1
,2014-05-24,,문화일반행사,그라운드 예식 행사,박지호,150 ,1586000 ,1
,2014-05-28,,국가대표,월드컵 출정식(vs튀니지),대한축구협회,49126 ,219743910 ,2
,2014-05-30,,기타축구,시민개방 축구경기,장영선(용산구축구연합회),40 ,1020000 ,1
,2014-06-07,,문화일반행사,2014 드림콘서트,"한국연예제작자협회
",42844 ,87354940 ,7
,2014-06-13,,문화일반행사,그라운드 예식 행사,최게바라기획사,1200 ,3735860 ,1
,2014-06-20,,기타축구,시민개방 축구경기,장영선(삼광축구회),35 ,1020000 ,1
,2014-07-12,,FC서울홈경기,K리그 클래식(vs수원),GS스포츠,46549 ,81453860 ,1
,2014-07-16,,FC서울홈경기,FA컵(vs포항),GS스포츠,7087 ,19278540 ,1
,2014-07-23,,FC서울홈경기,K리그 클래식(vs상주),GS스포츠,7803 ,32702270 ,1
,2014-07-25,,기타축구,K리그 올스타전,프로축구연맹,45991 ,141641230 ,2
,2014-07-30,,기타축구,레버쿠젠 초청 친선경기,GS스포츠,53376 ,182948560 ,2
,2014-08-06,,FC서울홈경기,K리그 클래식(vs울산),GS스포츠,12551 ,29422030 ,1
,2014-08-09,,문화일반행사,현대카드 시티브레이크,액세스,21038 ,326108750 ,9
,2014-08-15,,문화일반행사,SM타운 라이브,드림메이커스,24360 ,181256470 ,5
,2014-08-16,,FC서울홈경기,K리그 클래식(vs인천),GS스포츠,24027 ,41640640 ,1
,2014-08-23,,문화일반행사,기아체험,월드비전,18100 ,49108420 ,8
,2014-08-27,,FC서울홈경기,ACL(vs포항),GS스포츠,14122 ,37987630 ,2
,2014-08-31,,FC서울홈경기,K리그 클래식(vs제주),GS스포츠,14493 ,37256390 ,1
,2014-09-06,,문화일반행사,여호와의증인, 워치타워,194520 ,225262020 ,6
,2014-09-13,,FC서울홈경기,K리그 클래식(vs인천),GS스포츠,17345 ,41513490 ,1
,2014-09-17,,FC서울홈경기,ACL(vs웨스턴시드니),GS스포츠,12901 ,30239180 ,2
,2014-09-24,,FC서울홈경기,K리그 클래식(vs경남),GS스포츠,4336 ,28589420 ,1
,2014-10-05,,FC서울홈경기,K리그 클래식(vs수원),GS스포츠,41300 ,59449530 ,1
,2014-10-14,,국가대표,친선경기(vs코스타리카),대한축구협회,34552 ,150063930 ,2
,2014-10-19,,문화일반행사,2014 롤드컵 챔피언십,라이엇게임즈,40198 ,270146520 ,8
,2014-10-26,,FC서울홈경기,K리그 클래식(vs부산),GS스포츠,17039 ,37553900 ,1
,2014-11-02,,FC서울홈경기,K리그 스플릿(vs전북),GS스포츠,10990 ,32273960 ,1
,2014-11-08,,문화일반행사,2014 맨즈헬스 어반애슬론, 플랜박스,2123 ,31199440 ,2
,2014-11-16,,FC서울홈경기,K리그 스플릿(vs울산),GS스포츠,14836 ,35270500 ,1
,2014-11-23,,FC서울홈경기,FA컵(vs성남),GS스포츠,26969 ,65933520 ,1
