경기(행사) 일시,구 분,경기(행사) 종류,경기(행사) 내용,주 최,관람인원,수입금(원),사용일수(일)
2016-06-15,K리그,K리그 클래식,K리그 클래식(vs광주),GS스포츠,5505,34016190,1
2016-06-18,K리그,K리그 클래식,K리그 클래식(vs수원삼성),GS스포츠,47899,88646260,1
2016-06-29,K리그,K리그 클래식,K리그 클래식(vs성남),GS스포츠,7865,41603320,1
2016-07-09,K리그,K리그 클래식,K리그 클래식(vs울산),GS스포츠,18372,49353270,1
2016-07-20,K리그,K리그 클래식,K리그 클래식(vs전북),GS스포츠,18814,50784780,1
2016-07-31,K리그,K리그 클래식,K리그 클래식(vs포항),GS스포츠,17140,48929580,1
2016-08-13,K리그,K리그 클래식,K리그 클래식(vs수원삼성),GS스포츠,36309,68641240,1
2016-08-28,K리그,K리그 클래식,K리그 클래식(vs전북),GS스포츠,24508,57407730,1
2016-09-03,K리그,K리그 클래식,K리그 클래식(vs울산),GS스포츠,13843,44235720,1
2016-09-18,K리그,K리그 클래식,K리그 클래식(vs제주),GS스포츠,15516,44263090,1
2016-10-15,K리그,K리그 클래식,스플릿리그 (vs울산),GS스포츠,10482,38438370,1
2016-10-22,K리그,K리그 클래식,스플릿리그 (vs상주),GS스포츠,11565,41455400,1
2016-11-02,K리그,K리그 클래식,스플릿리그 (vs전남),GS스포츠,5011,34624960,1
2017-03-05,K리그,K리그 클래식,K리그 클래식(vs수원),GS스포츠,34376,79174040,1
2017-03-19,K리그,K리그 클래식,K리그 클래식(vs광주),GS스포츠,10892,36970700,1
2017-04-08,K리그,K리그 클래식,K리그 클래식(vs제주),GS스포츠,13175,38079860,1
2017-04-22,K리그,K리그 클래식,K리그 클래식(vs인천),GS스포츠,14596,40827270,1
2017-05-03,K리그,K리그 클래식,K리그 클래식(vs전남),GS스포츠,26261,50450840,1
2017-05-20,K리그,K리그 클래식,K리그 클래식(vs강원),GS스포츠,14560,45898730,1
2017-05-27,K리그,K리그 클래식,K리그 클래식(vs울산),GS스포츠,16359,42134530,1
2017-06-21,K리그,K리그 클래식,K리그 클래식(vs대구),GS스포츠,6384,33789660,1
2017-06-25,K리그,K리그 클래식,K리그 클래식(vs상주),GS스포츠,9757,37307610,1
2017-07-02,K리그,K리그 클래식,K리그 클래식(vs전북),GS스포츠,17571,56086320,1
2017-07-12,K리그,K리그 클래식,K리그 클래식(vs포항),GS스포츠,8833,41230490,1
2017-07-23,K리그,K리그 클래식,K리그 클래식(vs전북),GS스포츠,23913,53603280,1
2017-08-02,K리그,K리그 클래식,K리그 클래식(vs강원),GS스포츠,11361,40148730,1
2017-08-19,K리그,K리그 클래식,K리그 클래식(vs울산),GS스포츠,18087,47121090,1
2017-09-09,K리그,K리그 클래식,K리그 클래식(vs제주),GS스포츠,17161,45338070,1
2017-09-23,K리그,K리그 클래식,K리그 클래식(vs포항),GS스포츠,16621,61864500,1
2017-10-21,K리그,K리그 클래식,K-스플릿라운드(vs수원),GS스포츠,27257,53874070,1
2017-10-28,K리그,K리그 클래식,K-스플릿라운드(vs울산),GS스포츠,11984,37815470,1
2017-11-19,K리그,K리그 클래식,K-스플릿라운드(vs제주),GS스포츠,10913,39301310,1
2018-03-11,K리그,K리그 클래식,2018 K리그1 서울vs강원,(주)GS스포츠,16506,42307060,1
2018-04-01,K리그,K리그 클래식,2018 K리그1 서울vs인천,(주)GS스포츠,12686,40321530,1
2018-04-11,K리그,K리그 클래식,2018 K리그1 서울vs포항,(주)GS스포츠,5230,"30,946,270",1
2018-04-21,K리그,K리그 클래식,2018 K리그1 서울vs대구,(주)GS스포츠,8147,"34,804,970",1
2018-04-28,K리그,K리그 클래식,2018 K리그1 서울vs상주,(주)GS스포츠,8063,"34,835,140",1
2018-05-05,K리그,K리그 클래식,2018 K리그1 서울vs수원,(주)GS스포츠,37373,"71,612,970",1
2018-05-20,K리그,K리그 클래식,2018 K리그1 서울vs전북,(주)GS스포츠,23956,"55,174,460",1
2018-07-15,K리그,K리그 클래식,2018 K리그1 서울vs울산,(주)GS스포츠,12708,"42,381,580",1
2018-07-18,K리그,K리그 클래식,2018 K리그1 서울vs전남,(주)GS스포츠,6056,"36,053,570",1
2018-07-28,K리그,K리그 클래식,2018 K리그1 서울vs경남,(주)GS스포츠,9923,"39,371,320",1
2018-08-04,K리그,K리그 클래식,2018 K리그1 서울vs제주,(주)GS스포츠,9456,"38,758,310",1
2018-08-19,K리그,K리그 클래식,2018 K리그1 서울vs전북,(주)GS스포츠,20471,"53,100,490",1
2018-08-22,K리그,K리그 클래식,2018 K리그1 서울vs포항,(주)GS스포츠,6995,"38,131,200",1
2018-09-16,K리그,K리그 클래식,2018 K리그1 서울vs대구,(주)GS스포츠,15602,"42,600,940",1
2018-09-26,K리그,K리그 클래식,2018 K리그1 서울vs인천,(주)GS스포츠,15092,"41,887,160",1
2018-09-30,K리그,K리그 클래식,2018 K리그1 서울vs상주,(주)GS스포츠,12943,"39,249,740",1
2018-10-27,K리그,K리그 클래식,2018 K스플릿라운드 서울vs강원,(주)GS스포츠,7616,"35,091,160",1
2018-11-11,K리그,K리그 클래식,2018 K스플릿라운드 서울vs전남,(주)GS스포츠,8525,"35,880,530",1
2018-11-24,K리그,K리그 클래식,2018 K스플릿라운드 서울vs인천,(주)GS스포츠,10816,"38,832,310",1
2018-12-09,K리그,K리그 클래식,2018 K리그 승강플레이오프 서울vs부산,(주)GS스포츠,9612,"57,504,930",1
2019-03-03,K리그,K리그1,2019 K리그1 서울vs포항,(주)GS스포츠,15100,"46,448,200",1
2019-03-16,K리그,K리그1,2019 K리그1 서울vs제주,(주)GS스포츠,17003,"42,233,810",1
2019-03-30,K리그,K리그1,2019 K리그1 서울vs상주,(주)GS스포츠,12862,"39,618,720",1
2019-04-06,K리그,K리그1,2019 K리그1 서울vs경남,(주)GS스포츠,13503,"39,677,520",1
2019-04-21,K리그,K리그1,2019 K리그1 서울vs인천,(주)GS스포츠,19314,"47,636,620",1
2019-05-11,K리그,K리그1,2019 K리그1 서울vs대구,(주)GS스포츠,26505,"58,091,120",1
2019-05-28,K리그,K리그1,2019 K리그1 서울vs성남,(주)GS스포츠,13091,"41,764,650",1
2019-06-16,K리그,K리그1,2019 K리그1 서울vs수원,(주)GS스포츠,35481,"64,878,370",1
2019-06-30,K리그,K리그1,2019 K리그1 서울vs울산,(주)GS스포츠,19992,"50,311,719",1
2019-07-06,K리그,K리그1,2019 K리그1 서울vs강원,(주)GS스포츠,17990,"49,143,620",1
2019-07-20,K리그,K리그1,2019 K리그1 서울vs전북,(주)GS스포츠,32008,"69,212,790",1
2019-08-02,K리그,K리그1,2019 K리그1 서울vs대구,(주)GS스포츠,18578,"48,590,770",1
2019-08-11,K리그,K리그1,2019 K리그1 서울vs강원,(주)GS스포츠,15355,"47,218,175",1
2019-09-01,K리그,K리그1,2019 K리그1 서울vs전북,(주)GS스포츠,28024,"62,535,658",1
2019-09-15,K리그,K리그1,2019 K리그1 서울vs인천,(주)GS스포츠,15236,"44,995,210",1
2019-09-25,K리그,K리그1,2019 K리그1 서울vs경남,(주)GS스포츠,8429,"39,306,280",1
2019-09-29,K리그,K리그1,2019 K리그1 서울vs상주,(주)GS스포츠,13914,"60,876,030",1
2019-11-03,K리그,K리그1,2019 K리그1 파이널 서울vs울산,(주)GS스포츠,19813,"68,202,520",1
2019-11-23,K리그,K리그1,2020 K리그1 파이널 서울vs포항,(주)GS스포츠,16783,"46,329,880",1
2020-05-17,K리그,K리그1,2020 K리그1 서울vs광주,(주)GS스포츠,0,"21,223,160",2
2020-05-31,K리그,K리그1,2020 K리그1 서울vs성남,(주)GS스포츠,0,"21,376,390",1
2020-06-06,K리그,K리그1,2020 K리그1 서울vs전북,(주)GS스포츠,0,"21,260,110",1
2020-06-20,K리그,K리그1,2020 K리그1 서울vs울산,(주)GS스포츠,0,"19,165,560",1
2020-06-27,K리그,K리그1,2020 K리그1 서울vs인천,(주)GS스포츠,0,"19,334,090",1
2020-07-18,K리그,K리그1,2020 K리그1 서울vs포항,(주)GS스포츠,0,"19,461,650",1
2020-08-07,K리그,K리그1,2020 K리그1 서울vs강원,(주)GS스포츠,2312,"26,673,400",1
2020-08-15,K리그,K리그1,2020 K리그1 서울vs상주,(주)GS스포츠,2678,"26,975,750",1
2020-09-05,K리그,K리그1,2020 K리그1 서울vs부산,(주)GS스포츠,0,"19,098,910",1
2020-09-13,K리그,K리그1,2020 K리그1 서울vs수원,(주)GS스포츠,0,"19,065,370",1
2020-09-20,K리그,K리그1,2020 K리그1 서울vs대구,(주)GS스포츠,0,"18,390,560",1
2020-10-04,K리그,K리그1,2020 K리그1 파이널 서울vs부산,(주)GS스포츠,0,"19,122,280",1
2020-10-24,K리그,K리그1,2020 K리그1 파이널 서울vs강원,(주)GS스포츠,2621,"26,138,460",1
2020-10-31,K리그,K리그1,2020 K리그1 파이널 서울vs인천,(주)GS스포츠,5485,"30,852,580",1
