경기(행사) 일시,구 분,경기(행사) 내용,주 최,관람인원,수입금(원),사용일수(일)
2015-05-16,K리그,K리그 클래식-11R(vs전남),GS스포츠,17819,41393340,1
2015-05-20,ACL,ACL(vs감바 오사카),GS스포츠,10607,28167540,2
2015-05-31,K리그,K리그 클래식(vs울산),GS스포츠,18413,42976350,1
2015-06-03,K리그,K리그 클래식(vs인천),GS스포츠,5023,32334930,1
2015-06-17,K리그,K리그 클래식(vs부산),GS스포츠,4267,31555280,1
2015-06-27,K리그,K리그 클래식(vs수원),GS스포츠,39328,90737710,1
2015-07-05,K리그,K리그 클래식(vs광주),GS스포츠,11587,37479390,1
2015-07-11,K리그,K리그 클래식(vs포항),GS스포츠,17913,45552070,1
2015-07-22,FA컵,FA컵(vs포항),GS스포츠,6267,19542550,1
2015-07-25,K리그,K리그 클래식(vs인천),GS스포츠,10454,36730020,1
2015-08-22,K리그,K리그 클래식(vs대전),GS스포츠,17986,43833680,1
2015-09-09,K리그,K리그 클래식(vs포항),GS스포츠,9566,38273140,1
2015-09-23,K리그,K리그 클래식(vs성남),GS스포츠,8792,35108830,1
2015-09-28,K리그,K리그 클래식(vs광주),GS스포츠,17061,41638164,1
2015-10-04,K리그,K리그 클래식(vs전남),GS스포츠,20192,45085064,1
2015-10-25,K리그,K리그 스플릿(vs전북),GS스포츠,24262,51532290,1
2015-10-31,FA컵,FA컵 결승전(vs인천),GS스포츠,26797,49031360,1
2015-11-07,K리그,K리그 스플릿(vs수원),GS스포츠,23308,69127730,1
2016-03-01,ACL,ACL (vs 히로시마),GS스포츠,18115,39962090,1
2016-03-20,K리그,K리그 클래식(vs상주),GS스포츠,25950,49204650,1
2016-04-02,K리그,K리그 클래식(vs인천),GS스포츠,19318,45520290,1
2016-04-05,ACL,ACL (vs 산둥루넝),GS스포츠,10147,33441240,1
2016-04-16,K리그,K리그 클래식(vs수원FC),GS스포츠,13190,40614080,1
2016-04-20,ACL,ACL (vs 부리람),GS스포츠,5109,27360970,2
2016-05-08,K리그,K리그 클래식(vs포항),GS스포츠,17530,44274590,1
2016-05-11,FA컵,FA컵-32강전 (vs대구FC),GS스포츠,3539,11606690,1
2016-05-25,ACL,ACL 16강전 (vs우라와 ),GS스포츠,14173,31028600,1
2016-05-29,K리그,K리그 클래식(vs전남),GS스포츠,15851,42483520,1
2016-06-06,K리그,K리그 클래식(vs제주),GS스포츠,17466,45826590,1
2016-06-15,K리그,K리그 클래식(vs광주),GS스포츠,5505,34016190,1
2016-06-18,K리그,K리그 클래식(vs수원삼성),GS스포츠,47899,88646260,1
2016-06-22,FA컵,FA컵-16강전 (vs안산경찰청),GS스포츠,3993,11932030,1
2016-06-29,K리그,K리그 클래식(vs성남),GS스포츠,7865,41603320,1
2016-07-09,K리그,K리그 클래식(vs울산),GS스포츠,18372,49353270,1
2016-07-13,FA컵,FA컵-8강전 (vs전남),GS스포츠,5322,13680650,1
2016-07-20,K리그,K리그 클래식(vs전북),GS스포츠,18814,50784780,1
2016-07-31,K리그,K리그 클래식(vs포항),GS스포츠,17140,48929580,1
2016-08-13,K리그,K리그 클래식(vs수원삼성),GS스포츠,36309,68641240,1
2016-08-24,ACL,ACL-8강(vs산둥루넝),GS스포츠,16044,38233230,1
2016-08-28,K리그,K리그 클래식(vs전북),GS스포츠,24508,57407730,1
2016-09-03,K리그,K리그 클래식(vs울산),GS스포츠,13843,44235720,1
