연번,경기(행사) 일시,구 분,경기(행사) 종류,경기(행사) 내용,주 최, 관람인원(명) ,수입금(원),사용일수(일)
113,2016-12-03 14:00,기타축구,FA컵,FA컵 결승전 (vs수원),GS스포츠,35037,70985880,1
114,2017-02-20 18:00,기타축구,ACL,ACL 적응훈련(상하이상강),GS스포츠,50,598000,1
115,2017-02-21 19:30,기타축구,ACL,ACL (vs 상하이상강),GS스포츠,17764,40406640,1
116,2017-03-05 15:00,K리그,K리그 클래식,K리그 클래식(vs수원),GS스포츠,34376,79174040,1
117,2017-03-14 16:00,기타축구,ACL,ACL 적응훈련(시드니),GS스포츠,50,460000,1
118,2017-03-15 19:30,기타축구,ACL,ACL (vs 웨스턴시드니),GS스포츠,4769,24815410,1
119,2017-03-19 16:00,K리그,K리그 클래식,K리그 클래식(vs광주),GS스포츠,10892,36970700,1
120,2017-03-27 19:00,국가대표,월드컵예선 적응훈련(시리아),월드컵예선 적응훈련(시리아),대한축구협회,100,598000,1
121,2017-03-28 20:00,국가대표,월드컵예선(vs시리아),월드컵예선(vs시리아),대한축구협회,27920,114651600,1
122,2017-04-01 8:00,기타축구,일반시민 축구경기,일반시민 축구경기,황희식,50,897000,1
123,2017-04-08 15:00,K리그,K리그 클래식,K리그 클래식(vs제주),GS스포츠,13175,38079860,1
124,2017-04-13,일반행사,국가금식회개의날,국가금식회개의날,TOW미니스트리,15248,75858220,6
125,2017-04-19 19:30,기타축구,FA컵,FA컵-32강전 (vs 안양),GS스포츠,4277,12211850,1
126,2017-04-22 17:00,K리그,K리그 클래식,K리그 클래식(vs인천),GS스포츠,14596,40827270,1
127,2017-04-29 10:00,기타축구,일반시민 축구경기,일반시민 축구경기,곰두리축구단,200,0,1
128,2017-05-03 15:00,K리그,K리그 클래식,K리그 클래식(vs전남),GS스포츠,26261,50450840,1
129,2017-05-09 18:00,기타축구,ACL,ACL 적응훈련(우라와),GS스포츠,50,460000,1
130,2017-05-10 19:30,기타축구,ACL,ACL (vs우라와 ),GS스포츠,4933,26304850,1
131,2017-05-14 19:00,일반행사,워킹페스티벌 after 콘서트,워킹페스티벌 after 콘서트,크래스토마케팅,6682,24312350,4
132,2017-05-17 19:30,기타축구,FA컵,FA컵-16강전 (vs부산),GS스포츠,2456,9976980,1
133,2017-05-20 19:00,K리그,K리그 클래식,K리그 클래식(vs강원),GS스포츠,14560,45898730,1
134,2017-05-27 19:00,K리그,K리그 클래식,K리그 클래식(vs울산),GS스포츠,16359,42134530,1
135,2017-06-03 18:00,일반행사,콘서트,2017 드림콘서트,한국연예제작자협회,47508,100639370,9
136,2017-06-10 18:00,일반행사,콘서트,지드래곤 2017 콘서트,YG엔터테인먼트,35443,316811100,9
137,2017-06-21 19:30,K리그,K리그 클래식,K리그 클래식(vs대구),GS스포츠,6384,33789660,1
138,2017-06-25 19:00,K리그,K리그 클래식,K리그 클래식(vs상주),GS스포츠,9757,37307610,1
139,2017-07-02 19:00,K리그,K리그 클래식,K리그 클래식(vs전북),GS스포츠,17571,56086320,1
140,2017-07-08 19:00,일반행사,콘서트,SM타운 콘서트,드림메이커엔터테인먼트,32637,213257280,7
141,2017-07-12 19:30,K리그,K리그 클래식,K리그 클래식(vs포항),GS스포츠,8833,41230490,1
142,2017-07-17,일반행사,프린지 페스티벌,프린지 페스티벌,프린지,6000,0,6
143,2017-07-23 19:00,K리그,K리그 클래식,K리그 클래식(vs전북),GS스포츠,23913,53603280,1
144,2017-08-02 19:30,K리그,K리그 클래식,K리그 클래식(vs강원),GS스포츠,11361,40148730,1
145,2017-08-19 19:00,K리그,K리그 클래식,K리그 클래식(vs울산),GS스포츠,18087,47121090,1
146,2017-08-29,국가대표,월드컵예선 적응훈련,월드컵예선 적응훈련,대한축구협회,200,1196000,2
147,2017-08-31 21:00,국가대표,월드컵예선(vs이란),월드컵예선(vs이란),대한축구협회,60326,253759790,1
148,2017-09-09 19:00,K리그,K리그 클래식,K리그 클래식(vs제주),GS스포츠,17161,45338070,1
149,2017-09-23 19:00,K리그,K리그 클래식,K리그 클래식(vs포항),GS스포츠,16621,61864500,1
150,2017-10-21 15:00,K리그,K리그 클래식,K-스플릿라운드(vs수원),GS스포츠,27257,53874070,1
151,2017-10-28 12:00,기타축구,2017 서울컵 여자부 결승,2017 서울컵 여자부 결승,"공단, GS스포츠",50,0,1
152,2017-10-28 15:00,K리그,K리그 클래식,K-스플릿라운드(vs울산),GS스포츠,11984,37815470,1
153,2017-11-11 10:00,일반행사,한반도 평화통일 세계대회,한반도 평화통일 세계대회,세계평화통일가정연합,55991,101969480,7
154,2017-11-19 12:00,기타축구,2017 서울컵 남자부 결승,2017 서울컵 남자부 결승,"공단, GS스포츠",50,0,1
155,2017-11-19 15:00,K리그,K리그 클래식,K-스플릿라운드(vs제주),GS스포츠,10913,39301310,1
156,2018-03-11 16:00,K리그,K리그 클래식,2018 K리그1 서울vs강원,(주)GS스포츠,16506,42307060,1
157,2018-04-01 14:00,K리그,K리그 클래식,2018 K리그1 서울vs인천,(주)GS스포츠,12686,40321530,1
158,2018-04-07 14:00,기타축구,황희식/재경 동산FC축구단,서울경찰청FCvs재경동산FC 축구대회,황희식/재경 동산FC축구단,,"897,000",1
159,2018-04-11 19:00,K리그,K리그 클래식,2018 K리그1 서울vs포항,(주)GS스포츠,5230,"30,946,270",1
160,2018-04-21 14:00,K리그,K리그 클래식,2018 K리그1 서울vs대구,(주)GS스포츠,8147,"34,804,970",1
161,2018-04-28 16:00,K리그,K리그 클래식,2018 K리그1 서울vs상주,(주)GS스포츠,8063,"34,835,140",1
162,2018-05-05 16:00,K리그,K리그 클래식,2018 K리그1 서울vs수원,(주)GS스포츠,37373,"71,612,970",1
163,2018-05-12 18:00,일반행사,콘서트,2018 드림콘서트,한국연예제작자협회,43035,"97,994,340",7
164,2018-05-18 10:00,일반행사,종교행사,2018 세계평화와 희망나눔을 위한 기도대성회,여의도순복음교회,65608,"109,245,110",7
165,2018-05-20 16:00,K리그,K리그 클래식,2018 K리그1 서울vs전북,(주)GS스포츠,23956,"55,174,460",1
166,2018-07-15 19:00,K리그,K리그 클래식,2018 K리그1 서울vs울산,(주)GS스포츠,12708,"42,381,580",1
167,2018-07-18 19:00,K리그,K리그 클래식,2018 K리그1 서울vs전남,(주)GS스포츠,6056,"36,053,570",1
168,2018-07-28 19:00,K리그,K리그 클래식,2018 K리그1 서울vs경남,(주)GS스포츠,9923,"39,371,320",1
169,2018-08-04 19:00,K리그,K리그 클래식,2018 K리그1 서울vs제주,(주)GS스포츠,9456,"38,758,310",1
170,2018-08-08 19:00,기타축구,FA컵,2018 FA컵 16강전 서울vs제주,(주)GS스포츠,3809,"13,351,290",1
171,2018-08-11 15:00,기타축구,한국노동조합총연맹,남북노동자 통일 축구대회,한국노동조합총연맹,12452,"34,375,000",3
